County_Name,state_abbr,State Identifier,Obesity_Prevalence,Hispanic,Asian,Black,White,food_access,inactivity,poverty,Metro_Values,Metro_Nonmetro,GEOID
Bryan County,GA,13,0.224,0.065,0.018,0.142,0.768,0.484,0.193,0.102,1,Metropolitan,13029
Bulloch County,GA,13,0.262,0.041,0.015,0.280,0.654,0.280,0.212,0.267,0,Nonmetropolitan,13031
Burke County,GA,13,0.234,0.031,0.003,0.482,0.487,0.514,0.211,0.262,1,Metropolitan,13033
Butts County,GA,13,0.207,0.031,0.003,0.283,0.685,0.342,0.186,0.181,1,Metropolitan,13035
Calhoun County,GA,13,0.201,0.052,0.004,0.608,0.338,0.473,0.189,0.363,0,Nonmetropolitan,13037
Camden County,GA,13,0.265,0.069,0.016,0.186,0.732,0.872,0.205,0.137,0,Nonmetropolitan,13039
Candler County,GA,13,0.207,0.119,0.014,0.234,0.660,0.000,0.191,0.250,0,Nonmetropolitan,13043
Carroll County,GA,13,0.265,0.071,0.008,0.191,0.745,0.745,0.235,0.177,1,Metropolitan,13045
Catoosa County,GA,13,0.261,0.031,0.014,0.024,0.921,0.565,0.228,0.127,1,Metropolitan,13047
Charlton County,GA,13,0.218,0.072,0.005,0.264,0.678,0.767,0.197,0.277,0,Nonmetropolitan,13049
Chatham County,GA,13,0.263,0.065,0.026,0.401,0.521,0.549,0.223,0.174,1,Metropolitan,13051
Chattahoochee County,GA,13,0.193,0.165,0.030,0.187,0.658,0.982,0.151,0.193,1,Metropolitan,13053
Chattooga County,GA,13,0.229,0.052,0.003,0.104,0.850,0.698,0.209,0.207,0,Nonmetropolitan,13055
Cherokee County,GA,13,0.247,0.106,0.018,0.065,0.850,0.727,0.192,0.081,1,Metropolitan,13057
Clarke County,GA,13,0.225,0.108,0.041,0.267,0.627,0.726,0.184,0.311,1,Metropolitan,13059
Clay County,GA,13,0.209,0.018,0.005,0.628,0.340,0.000,0.202,0.318,0,Nonmetropolitan,13061
Clayton County,GA,13,0.320,0.133,0.052,0.682,0.174,0.687,0.274,0.204,1,Metropolitan,13063
Clinch County,GA,13,0.203,0.053,0.002,0.275,0.670,0.000,0.186,0.258,0,Nonmetropolitan,13065
Cobb County,GA,13,0.237,0.128,0.051,0.266,0.586,0.788,0.190,0.110,1,Metropolitan,13067
Coffee County,GA,13,0.248,0.118,0.007,0.280,0.646,0.218,0.249,0.248,0,Nonmetropolitan,13069
Colquitt County,GA,13,0.261,0.195,0.008,0.228,0.645,0.531,0.248,0.245,0,Nonmetropolitan,13071
Columbia County,GA,13,0.254,0.068,0.042,0.163,0.737,0.665,0.205,0.077,1,Metropolitan,13073
Cook County,GA,13,0.230,0.061,0.003,0.274,0.670,0.000,0.229,0.236,0,Nonmetropolitan,13075
Coweta County,GA,13,0.252,0.072,0.017,0.178,0.758,0.694,0.211,0.106,1,Metropolitan,13077
Crawford County,GA,13,0.211,0.023,0.004,0.229,0.735,0.752,0.199,0.186,1,Metropolitan,13079
Crisp County,GA,13,0.222,0.035,0.009,0.438,0.531,0.238,0.212,0.293,0,Nonmetropolitan,13081
Dade County,GA,13,0.217,0.022,0.010,0.010,0.950,0.000,0.196,0.151,1,Metropolitan,13083
Dawson County,GA,13,0.216,0.050,0.006,0.009,0.941,0.000,0.185,0.109,1,Metropolitan,13085
Decatur County,GA,13,0.243,0.062,0.004,0.413,0.527,0.567,0.235,0.262,0,Nonmetropolitan,13087
